Patent Number,Title,Unique Identifier,
CN107915628-A,"Green synthesis of pyruvate, comprises e.g. adding lactate, zinc-copper(II) oxide/zeolite Socony mobil-5 supported catalyst and solvent into closed reactor, sealing, then replacing gas with oxygen, and carrying out oxidation reaction.",DIIDW:2018314812,
WO2014174107-A1; CN104117380-A; CN104117380-B,"Catalyst composition for multistage catalyst system for catalyzed production of saturated hydrocarbon from carbon oxide(s) and hydrogen, comprises acidic substrate comprising zeolite, or metal-containing zeolite catalyst.",DIIDW:2014U13175,
CN103058212-A; CN103058212-B,"Synthesis of beta zeolite-mordenite composite molecular sieve includes preparing structure-directing agent, mixing inorganic alkali, aluminum source, silicon source, and water, mixing with structure-directing agent, and adding beta-zeolite.",DIIDW:2013P69432,
JP2019181456-A; JP7220087-B2,"Zeolite film complex for e.g., isolation process comprises porous support body, and zeolite film which is formed on support body and contains a residue derived from organic substance.",DIIDW:201988382X,
JP2015108086-A,"Thermal storage material for use in heat pumps, comprises chemically bonded carbon nanofibers and zeolite.",DIIDW:201533718L,
CN112778195-A; CN112778195-B,"Promoting reaction of acrolein and ammonia to prepare 3-methylpyridine comprises adding propylamine to mixed material of acrolein and ammonia to synthesize 3-picoline in presence of catalyst, where catalyst includes zeolite socony mobil-5.",DIIDW:202155012N,
WO2024008494-A1; CN119255964-A; KR2025033210-A; EP4551509-A1; US2025214850-A1; JP2025520528-W,"Increasing aluminum content of EWT framework zeolite by subjecting EWT framework zeolite to treatment by contacting EWT framework zeolite with aqueous solution of aluminum salt and separating EWT framework zeolite, and repeating treatment.",DIIDW:202405689B,
WO2023190824-A1; JP2023149757-A; CN118946407-A; EP4484005-A1; EP4484005-A4; US2025256268-A1,"Production of silica-coated zeolite catalyst used for manufacturing paraxylene, involves mixing zinc source and MFI type zeolite, preparing liquid mixture containing structure directing agent containing e.g. tetraethylammonium, and adding mixed liquid to surface of zinc-added zeolite.",DIIDW:2023A38986,
KR2225929-B1,"Synthesizing zeolite/zinc oxide complex functional particle through zeolite micronization useful in fiber and filter comprises preparing dispersion solution by mixing and stirring first solvent and thickener to disperse, and adding zeolite.",DIIDW:202125704Y,
CN105582988-A; CN105582988-B,"Cyclohexylbenzene catalyst comprises palladium, IIB element and hydrogen-type zeolite molecular sieve.",DIIDW:201633558L,
JP2023114891-A,"Producing zeolite used as adsorbent for carbon dioxide, involves hydrothermally synthesizing raw material composition comprising amorphous seed crystal or precursor composition having specific crystallinity.",DIIDW:2023893491,
US2015321141-A1; WO2015171970-A1; US9649601-B2,"Apparatus for olefin separation from olefin and paraffin mixture, comprises metal-doped zeolite membrane where membrane comprises porous substrate and zeolite layer having pores with metal clusters in zeolite pores.",DIIDW:201569364F,
JP2021147260-A; JP7679603-B2,"Producing AEI-type zeolite by preparing composition containing silicon atom, aluminum atom, alkali metal atom and water, aging composition, adding zeolite having d6r in skeleton, adding zeolite after aging, and hydrothermally synthesizing composition after adding zeolite.",DIIDW:2021B13054,
CN119660764-A,Beta/zeolite socony mobil-5 intergrowth zeolite molecular sieve useful in preparing catalytic diesel hydrocracking catalyst for hydrogenation catalytic diesel hydrocracking reaction.,DIIDW:202531401X,
US6316379-B1,"Method of conditioning specific zeolite catalyst for synthesizing methyl tert-butyl ether, involves impregnating aqueous ammonium chloride solution into parent zeolite, drying and activating at preset temperatures.",DIIDW:2002054593,
CN120714691-A,Directly preparing light aromatic hydrocarbon by synthesis gas cooperating with carbon dioxide co-feeding comprises using catalyst including core-shell molecular sieve and oxygen-vacancy-rich metal oxide chromium(III) oxide.,DIIDW:2025A3475Q,
US2016221832-A1; CN107207269-A; WO2016126431-A1; KR2017113573-A; SG11201705830-A1; IN201717024374-A; CA2983038-A1; EP3253713-A1; JP2018504357-W; US10017394-B2; RU2017125266-A; TW643817-B1; TW644863-B1; TW201900559-A; ZA201704548-A; EP3253713-B1; RU2700052-C2; CN107207269-B; IN335504-B; ES2750826-T3; JP6724020-B2; SG10202010226-A1; SG11201705830-B; CA2983038-C; KR2527695-B1,"Mordenite zeolite comprising a structure directing agent that comprises tetraethyl ammonium and/or methyl triethyl ammonium within its pores, and having a specified mesopore surface area, used e.g. as a catalyst in transalkylation process.",DIIDW:201647347T,
US7119245-B1,"Synthesizing ZSM-22 zeolite crystals for crystalline membrane used in chemical and petroleum refining industry, by preparing precursor gel, drying, converting into powder, and exposing to vapors of solvent mixture.",DIIDW:2006667810,
CN108929326-A; CN108929326-B,"Synthesis of 2-methyltriethylenediamine from 2-methylpiperazine comprises taking feed stream containing 2-methylpiperazine and solvent, and reacting in presence of titanium dioxide/pentasil zeolite as catalyst obtained by ball-milling.",DIIDW:201899494T,
CN107866275-A; CN107866275-B,"Catalyst used for preparing cyclohexylbenzene, comprises hydrogen zeolite molecular sieve carrier and active component comprising palladium, lanthanide and iron.",DIIDW:2018271692,
JP2005219988-A; JP4882202-B2,"Synthesis of mordenite type zeolite used as base material, involves crystallizing reaction mixture containing silica, sodium oxide, water, alumina and tetraethyl ammonium oxide in preset molar ratio, and mordenite type zeolite.",DIIDW:2005575529,
CN108675313-A,"Synthesis of MCM-49 zeolite involves preparing seed solution, pre-treating, adding alkali source, water, silicon or aluminum source, and templating agent, mixing, aging resultant, crystallizing, filtering, washing, drying, and calcining.",DIIDW:201884297U,
WO2004080590-A1; FI200300383-A; EP1610895-A1; ZA200507150-A; US2006275207-A1; IN200501742-P2; CN1894037-A; FI118516-B1; US7604794-B2; IN226742-B; CN1894037-B; EP1610895-B1,"New zeolite catalyst having 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide structure is useful for skeletal isomerization of feed comprising olefinic hydrocarbons.",DIIDW:2004690532,
JP2004121924-A,"Catalyst for steam reforming of dimethyl ether, is obtained by mixing preset amount of zeolite containing preset amount of silicon and aluminum, into precursor mixture containing copper and zinc.",DIIDW:2004394488,
KR1824047-B1,"Producing propylene directly from ethylene, comprises e.g. preparing H-type zeolite catalyst as SSZ-13 zeolite catalyst by hydrothermally reacting silicon source, aluminum source, metal hydroxide and casting-product.",DIIDW:2018112004,
WO2014015304-A1; US2014050659-A1; US9714174-B2; US2017369327-A1; US10421666-B2,"Forming cancrinite crystals involves creating a solution comprising a silicon/hydroxide, and a silicon/aluminum.",DIIDW:2014C20297,
CN110560149-A,Zeolite-supported metal type hydrogen removal and tritium removal catalyst comprises zeolite as carrier and precious metal as active component.,DIIDW:2019A6742V,
CN107866267-A; CN107866267-B,"Catalyst suitable for cyclohexylbenzene production, comprises hydrogen zeolite molecular sieve carrier and active component comprising palladium, lanthanide and zirconium.",DIIDW:201827169A,
CN115594859-A,"Synthesizing multi-metal doped zeolite imidazole ester skeleton under atmospheric environment useful in the field of chemical synthesis, comprises e.g. reacting zinc ions and 2-methylimidazole in methanol in the presence of copper.",DIIDW:202315666N,
CN107866269-A; CN107866269-B,"Catalyst suitable for cyclohexylbenzene production, comprises hydrogen zeolite molecular sieve carrier and active component comprising palladium, lanthanide and titanium.",DIIDW:2018271698,
CN107866271-A; CN107866271-B,"Catalyst suitable for cyclohexylbenzene production, comprises hydrogen zeolite molecular sieve carrier and active component comprising palladium, lanthanide and cadmium.",DIIDW:2018271696,
JP2005255486-A,"Manufacture of synthetic zeolite useful as catalyst, adsorption agent, involves synthesizing white synthetic zeolite from sodium silicate obtained by filtration of cast waste sand, and aluminate soda solution obtained from aluminum source.",DIIDW:2005668801,
US2005085646-A1,"Treatment of solid material or shaped body containing zeolite used as catalyst, comprises contacting shaped body with composition comprising water after integrated process for producing material/body.",DIIDW:2005343910,
CN111389454-A; CN111389454-B,"Use of catalyst for preparing p-tolualdehyde from synthesis gas and toluene, comprises e.g. copper-zirconium bimetallic catalyst as main catalyst and hydrogenated zeolite molecular sieve-5 type molecular sieve as carrier.",DIIDW:2020668023,
JP2018087105-A; JP6798282-B2,"Manufacturing AEI type zeolite for catalyst used for manufacturing propylene and linear butene involves hydrothermal synthesis of mixture containing silicon source, element source, alkali metal source, phosphonium cation and water.",DIIDW:201845289V,
JP2007270063-A,"Processing of light hydrocarbon composition for aromatic-hydrocarbon composition, involves preparing light hydrocarbon composition using zeolite catalyst, and converting light hydrocarbon to aromatic-hydrocarbon.",DIIDW:2008B21391,
CN103664447-A; CN103664447-B,"Forming olefin e.g. ethylene involves converting synthesis gas having hydrogen and carbon monoxide using olefin polymerization catalyst having core-shell structure, where core has e.g. alumina and silica, and shell has ZSM-5/beta-zeolite.",DIIDW:2014J35427,
CN104760974-A; CN104760974-B,"Synthesis of ZSM-5 zeolite with open cells and multi-level channel structure by mixing tetraethyl ester, tetraethyl orthosilicate or silica sol and templating agent and water, hydrolyzing, aging, and adding inorganic silicon source.",DIIDW:201553209A,
CN108217683-A; CN108217683-B,"Synthesizing silicon-rich ZSM-23 zeolite molecular sieve by seed-directing method comprises e.g. mixing alkali source, silicon source, seed crystal, organic additive, and aluminum source in mortar, and grinding, performing crystallization.",DIIDW:2018533964,
JP2024144183-A,"Zeolite catalyst for partial oxidation of light hydrocarbons, comprises silicon and aluminum as constituent elements and containing elements from iron-platinum group.",DIIDW:2024B04149,
CN117924037-A,"Synthesis of long-chain alkylphenol involves heating phenol, stirring and melting to obtain phenol liquid, adding high-carbon alpha-olefin, stirring and heating, adding dried X zeolite molecular sieve catalyst, stirring, and heating and carrying out alkylation reaction.",DIIDW:202445977T,
WO2025018511-A1; KR2025012996-A,"Manufacture of BEA zeolite catalyst for glucose conversion reaction, involves synthesizing borosilicate MWW zeolite or aluminosilicate MWW zeolite precursors, dissolving in transition metal hydrate solution, adding e.g. tetraethylammonium hydroxide solution and powdering, and crystallizing powder.",DIIDW:2025093632,
CN109317187-A; CN109317187-B,"Catalyst useful for synthesis of fatty acid ester alkoxylate, prepared by adding magnesium-containing compound, titanium-containing compound and aluminum-containing zeolite into deionized water, adding sodium hydroxide and warming.",DIIDW:201916766A,
JP2017080744-A,"Manufacture of porous support-zeolite film complex used for separating mixture, involves forming zeolite membrane by immersing porous support in aqueous reaction mixture containing silicon element source, and heating porous support.",DIIDW:201730860C,
KR2023062969-A; KR2649207-B1,"Synthesizing zeolite comprises mixing industrial by-products and solvents, and filtering to obtain residual by-product, and carrying out hydrothermal reaction of residual by-product.",DIIDW:202350271L,
CN117903449-A,"Synthesis of large adsorption capacity zeolite imidazole ester framework-67 material by suspension method used in absorbing organic pollutant includes suspending cobalt nitrate, adding dimethyl imidazole solution to suspension liquid drop, and performing synthesis reaction in suspension state.",DIIDW:202443674A,
